47.62326, -122.34612, 15, 0, 0, 50f, 3.17f
47.60975, -122.33785, 15, 0, 0, 50f, 3.17f
47.60872, -122.3369, 12, 0, 0, 50f, 3.17f
47.60779, -122.33602, 20, 0, 0, 50f, 3.17f
47.607, -122.3353, 8, 0, 0, 50f, 3.17f
47.60629, -122.33472, 10, 0, 0, 50f, 3.17f
47.6056, -122.33409, 13, 0, 0, 50f, 3.17f
47.60488, -122.33341, 4, 0, 0, 50f, 3.17f
47.6049, -122.33336, 13, 0, 0, 50f, 3.17f
47.60528, -122.33242, 18, 0, 0, 50f, 3.17f
47.60533, -122.33236, 23, 0, 0, 50f, 3.17f
47.60535, -122.33229, 28, 0, 0, 50f, 3.17f
47.60563, -122.3316, 27, 0, 0, 50f, 3.17f
47.60573, -122.33135, 28, 0, 0, 50f, 3.17f
47.60582, -122.33113, 24, 0, 0, 50f, 3.17f
47.60629, -122.33012, 26, 0, 0, 50f, 3.17f
47.60565, -122.32952, 19, 0, 0, 50f, 3.17f
47.6056, -122.32948, 21, 0, 0, 50f, 3.17f
47.60541, -122.32927, 25, 0, 0, 50f, 3.17f
47.60533, -122.3292, 20, 0, 0, 50f, 3.17f
47.60488, -122.32877, 27, 0, 0, 50f, 3.17f
47.60419, -122.32811, 23, 0, 0, 50f, 3.17f
47.60415, -122.32806, 17, 0, 0, 50f, 3.17f
47.60393, -122.32785, 25, 0, 0, 50f, 3.17f
47.60344, -122.32744, 16, 0, 0, 50f, 3.17f
47.6031, -122.32712, 22, 0, 0, 50f, 3.17f
47.60297, -122.32697, 12, 0, 0, 50f, 3.17f
47.60292, -122.32695, 26, 0, 0, 50f, 3.17f
47.60288, -122.32691, 9, 0, 0, 50f, 3.17f
47.60286, -122.32688, 24, 0, 0, 50f, 3.17f
47.60282, -122.32684, 9, 0, 0, 50f, 3.17f
47.60277, -122.3268, 24, 0, 0, 50f, 3.17f
47.60271, -122.32673, 5, 0, 0, 50f, 3.17f
47.60266, -122.32667, 21, 0, 0, 50f, 3.17f
47.6026, -122.32658, 9, 0, 0, 50f, 3.17f
47.60254, -122.32648, 15, 0, 0, 50f, 3.17f
47.60247, -122.32641, 12, 0, 0, 50f, 3.17f
47.60232, -122.3262, 9, 0, 0, 50f, 3.17f
47.60211, -122.3259, 5, 0, 0, 50f, 3.17f
47.60194, -122.32564, 23, 0, 0, 50f, 3.17f
47.60181, -122.32547, 10, 0, 0, 50f, 3.17f
47.60172, -122.32532, 19, 0, 0, 50f, 3.17f
47.60164, -122.32519, 7, 0, 0, 50f, 3.17f
47.60155, -122.32508, 19, 0, 0, 50f, 3.17f
47.60144, -122.32491, 27, 0, 0, 50f, 3.17f
47.60082, -122.32412, 8, 0, 0, 50f, 3.17f
47.60073, -122.32394, 5, 0, 0, 50f, 3.17f
47.6005, -122.32364, 12, 0, 0, 50f, 3.17f
47.60035, -122.32345, 7, 0, 0, 50f, 3.17f
47.60028, -122.32334, 9, 0, 0, 50f, 3.17f
47.60016, -122.32319, 7, 0, 0, 50f, 3.17f
47.60009, -122.32311, 18, 0, 0, 50f, 3.17f
47.59998, -122.323, 11, 0, 0, 50f, 3.17f
47.59992, -122.32289, 7, 0, 0, 50f, 3.17f
47.59983, -122.32283, 6, 0, 0, 50f, 3.17f
47.59977, -122.32274, 28, 0, 0, 50f, 3.17f
47.59968, -122.32266, 12, 0, 0, 50f, 3.17f
47.5996, -122.32257, 11, 0, 0, 50f, 3.17f
47.59951, -122.32248, 19, 0, 0, 50f, 3.17f
47.59934, -122.32234, 10, 0, 0, 50f, 3.17f
47.59923, -122.32225, 27, 0, 0, 50f, 3.17f
47.59919, -122.32221, 18, 0, 0, 50f, 3.17f
47.59912, -122.32214, 10, 0, 0, 50f, 3.17f
47.59906, -122.3221, 25, 0, 0, 50f, 3.17f
47.599, -122.32206, 14, 0, 0, 50f, 3.17f
47.59895, -122.32201, 8, 0, 0, 50f, 3.17f
47.59889, -122.32197, 25, 0, 0, 50f, 3.17f
47.5988, -122.32191, 23, 0, 0, 50f, 3.17f
47.59865, -122.3218, 17, 0, 0, 50f, 3.17f
47.59859, -122.32176, 19, 0, 0, 50f, 3.17f
47.59846, -122.32169, 29, 0, 0, 50f, 3.17f
47.59835, -122.32163, 11, 0, 0, 50f, 3.17f
47.59824, -122.32156, 28, 0, 0, 50f, 3.17f
47.59814, -122.3215, 18, 0, 0, 50f, 3.17f
47.59805, -122.32146, 22, 0, 0, 50f, 3.17f
47.59777, -122.32133, 9, 0, 0, 50f, 3.17f
47.59767, -122.32128, 16, 0, 0, 50f, 3.17f
47.59756, -122.32124, 8, 0, 0, 50f, 3.17f
47.59743, -122.32118, 26, 0, 0, 50f, 3.17f
47.59722, -122.32105, 26, 0, 0, 50f, 3.17f
47.59715, -122.321, 21, 0, 0, 50f, 3.17f
47.59709, -122.32096, 22, 0, 0, 50f, 3.17f
47.597, -122.32094, 5, 0, 0, 50f, 3.17f
47.59692, -122.3209, 14, 0, 0, 50f, 3.17f
47.59683, -122.32088, 5, 0, 0, 50f, 3.17f
47.59672, -122.32083, 6, 0, 0, 50f, 3.17f
47.59666, -122.32083, 21, 0, 0, 50f, 3.17f
47.59657, -122.32081, 21, 0, 0, 50f, 3.17f
47.59649, -122.32079, 14, 0, 0, 50f, 3.17f
47.5964, -122.32079, 23, 0, 0, 50f, 3.17f
47.59629, -122.32079, 22, 0, 0, 50f, 3.17f
47.59621, -122.32077, 7, 0, 0, 50f, 3.17f
47.59608, -122.32077, 6, 0, 0, 50f, 3.17f
47.59595, -122.32077, 10, 0, 0, 50f, 3.17f
47.59584, -122.32075, 20, 0, 0, 50f, 3.17f
47.59578, -122.32075, 21, 0, 0, 50f, 3.17f
47.59541, -122.32075, 17, 0, 0, 50f, 3.17f
47.59533, -122.32073, 7, 0, 0, 50f, 3.17f
47.59524, -122.32073, 26, 0, 0, 50f, 3.17f
47.59518, -122.3207, 4, 0, 0, 50f, 3.17f
47.59511, -122.3207, 5, 0, 0, 50f, 3.17f
47.59507, -122.32068, 8, 0, 0, 50f, 3.17f
47.59503, -122.32066, 6, 0, 0, 50f, 3.17f
47.59498, -122.32064, 20, 0, 0, 50f, 3.17f
47.59492, -122.32062, 23, 0, 0, 50f, 3.17f
47.59488, -122.32055, 13, 0, 0, 50f, 3.17f
47.59483, -122.32053, 25, 0, 0, 50f, 3.17f
47.59479, -122.32049, 28, 0, 0, 50f, 3.17f
47.59473, -122.32043, 21, 0, 0, 50f, 3.17f
47.59466, -122.32034, 5, 0, 0, 50f, 3.17f
47.59462, -122.32028, 22, 0, 0, 50f, 3.17f
47.5946, -122.32023, 4, 0, 0, 50f, 3.17f
47.59455, -122.32015, 18, 0, 0, 50f, 3.17f
47.59453, -122.3201, 13, 0, 0, 50f, 3.17f
47.59451, -122.32006, 24, 0, 0, 50f, 3.17f
47.59449, -122.32, 26, 0, 0, 50f, 3.17f
47.59445, -122.31989, 27, 0, 0, 50f, 3.17f
47.59443, -122.31982, 19, 0, 0, 50f, 3.17f
47.5944, -122.3197, 12, 0, 0, 50f, 3.17f
47.59438, -122.31959, 15, 0, 0, 50f, 3.17f
47.59436, -122.31948, 29, 0, 0, 50f, 3.17f
47.59436, -122.3194, 17, 0, 0, 50f, 3.17f
47.59436, -122.31924, 17, 0, 0, 50f, 3.17f
47.59434, -122.31918, 16, 0, 0, 50f, 3.17f
47.59434, -122.31907, 7, 0, 0, 50f, 3.17f
47.59436, -122.31899, 29, 0, 0, 50f, 3.17f
47.59436, -122.31888, 19, 0, 0, 50f, 3.17f
47.59438, -122.31875, 21, 0, 0, 50f, 3.17f
47.59438, -122.31864, 19, 0, 0, 50f, 3.17f
47.5944, -122.31856, 19, 0, 0, 50f, 3.17f
47.59445, -122.31843, 24, 0, 0, 50f, 3.17f
47.59449, -122.31828, 11, 0, 0, 50f, 3.17f
47.59473, -122.3174, 4, 0, 0, 50f, 3.17f
47.59475, -122.31729, 18, 0, 0, 50f, 3.17f
47.59477, -122.31721, 20, 0, 0, 50f, 3.17f
47.59481, -122.31706, 19, 0, 0, 50f, 3.17f
47.59486, -122.31684, 29, 0, 0, 50f, 3.17f
47.59483, -122.31654, 23, 0, 0, 50f, 3.17f
47.59481, -122.31628, 29, 0, 0, 50f, 3.17f
47.59483, -122.31622, 28, 0, 0, 50f, 3.17f
47.59483, -122.31611, 20, 0, 0, 50f, 3.17f
47.59483, -122.31588, 9, 0, 0, 50f, 3.17f
47.59483, -122.31566, 18, 0, 0, 50f, 3.17f
47.59481, -122.31547, 11, 0, 0, 50f, 3.17f
47.59479, -122.31528, 27, 0, 0, 50f, 3.17f
47.59475, -122.31506, 15, 0, 0, 50f, 3.17f
47.59473, -122.31487, 26, 0, 0, 50f, 3.17f
47.59466, -122.31465, 25, 0, 0, 50f, 3.17f
47.5946, -122.31444, 17, 0, 0, 50f, 3.17f
47.59455, -122.31427, 21, 0, 0, 50f, 3.17f
47.59447, -122.31407, 13, 0, 0, 50f, 3.17f
47.59438, -122.31388, 20, 0, 0, 50f, 3.17f
47.5943, -122.31369, 13, 0, 0, 50f, 3.17f
47.59417, -122.3135, 6, 0, 0, 50f, 3.17f
47.59406, -122.31332, 27, 0, 0, 50f, 3.17f
47.59391, -122.31315, 23, 0, 0, 50f, 3.17f
47.59376, -122.313, 22, 0, 0, 50f, 3.17f
47.5937, -122.31294, 22, 0, 0, 50f, 3.17f
47.59365, -122.31289, 21, 0, 0, 50f, 3.17f
47.59348, -122.31274, 14, 0, 0, 50f, 3.17f
47.59344, -122.3127, 29, 0, 0, 50f, 3.17f
47.59249, -122.31199, 22, 0, 0, 50f, 3.17f
47.59217, -122.31174, 23, 0, 0, 50f, 3.17f
47.59206, -122.31163, 26, 0, 0, 50f, 3.17f
47.59162, -122.31128, 16, 0, 0, 50f, 3.17f
47.59149, -122.3112, 19, 0, 0, 50f, 3.17f
47.59136, -122.31109, 9, 0, 0, 50f, 3.17f
47.59123, -122.31101, 8, 0, 0, 50f, 3.17f
47.59114, -122.3109, 13, 0, 0, 50f, 3.17f
47.59101, -122.31077, 9, 0, 0, 50f, 3.17f
47.59091, -122.31064, 20, 0, 0, 50f, 3.17f
47.59082, -122.31053, 26, 0, 0, 50f, 3.17f
47.59076, -122.31045, 11, 0, 0, 50f, 3.17f
47.59071, -122.31036, 4, 0, 0, 50f, 3.17f
47.59069, -122.31034, 16, 0, 0, 50f, 3.17f
47.59067, -122.31032, 9, 0, 0, 50f, 3.17f
47.59061, -122.31019, 4, 0, 0, 50f, 3.17f
47.5905, -122.31, 10, 0, 0, 50f, 3.17f
47.59046, -122.30991, 15, 0, 0, 50f, 3.17f
47.59039, -122.30978, 14, 0, 0, 50f, 3.17f
47.59031, -122.30955, 28, 0, 0, 50f, 3.17f
47.59024, -122.30935, 26, 0, 0, 50f, 3.17f
47.5902, -122.30922, 4, 0, 0, 50f, 3.17f
47.59016, -122.30907, 4, 0, 0, 50f, 3.17f
47.59011, -122.30886, 19, 0, 0, 50f, 3.17f
47.59007, -122.30869, 8, 0, 0, 50f, 3.17f
47.59005, -122.30856, 21, 0, 0, 50f, 3.17f
47.59003, -122.30843, 25, 0, 0, 50f, 3.17f
47.59, -122.3083, 15, 0, 0, 50f, 3.17f
47.58998, -122.30802, 16, 0, 0, 50f, 3.17f
47.58996, -122.30787, 11, 0, 0, 50f, 3.17f
47.58996, -122.30772, 4, 0, 0, 50f, 3.17f
47.58996, -122.30746, 28, 0, 0, 50f, 3.17f
47.58996, -122.30714, 8, 0, 0, 50f, 3.17f
47.58996, -122.30706, 21, 0, 0, 50f, 3.17f
47.58996, -122.30641, 6, 0, 0, 50f, 3.17f
47.58998, -122.30583, 28, 0, 0, 50f, 3.17f
47.58998, -122.3047, 23, 0, 0, 50f, 3.17f
47.58998, -122.3042, 8, 0, 0, 50f, 3.17f
47.59, -122.30388, 10, 0, 0, 50f, 3.17f
47.59, -122.30371, 28, 0, 0, 50f, 3.17f
47.59, -122.30356, 28, 0, 0, 50f, 3.17f
47.59, -122.30345, 5, 0, 0, 50f, 3.17f
47.59, -122.30296, 29, 0, 0, 50f, 3.17f
47.59, -122.30259, 9, 0, 0, 50f, 3.17f
47.59, -122.30223, 25, 0, 0, 50f, 3.17f
47.59, -122.30216, 16, 0, 0, 50f, 3.17f
47.59, -122.3021, 9, 0, 0, 50f, 3.17f
47.59, -122.30159, 10, 0, 0, 50f, 3.17f
47.59, -122.30137, 23, 0, 0, 50f, 3.17f
47.59, -122.3006, 7, 0, 0, 50f, 3.17f
47.59003, -122.30004, 22, 0, 0, 50f, 3.17f
47.59003, -122.29946, 14, 0, 0, 50f, 3.17f
47.59003, -122.29882, 24, 0, 0, 50f, 3.17f
47.59003, -122.2982, 26, 0, 0, 50f, 3.17f
47.59003, -122.29811, 24, 0, 0, 50f, 3.17f
47.59007, -122.29774, 29, 0, 0, 50f, 3.17f
47.59009, -122.2976, 5, 0, 0, 50f, 3.17f
47.59009, -122.29747, 15, 0, 0, 50f, 3.17f
47.59009, -122.29549, 12, 0, 0, 50f, 3.17f
47.59009, -122.29448, 13, 0, 0, 50f, 3.17f
47.59009, -122.29352, 28, 0, 0, 50f, 3.17f
47.59009, -122.2935, 23, 0, 0, 50f, 3.17f
47.59009, -122.29242, 10, 0, 0, 50f, 3.17f
47.59009, -122.29137, 22, 0, 0, 50f, 3.17f
47.59009, -122.29049, 28, 0, 0, 50f, 3.17f
47.59005, -122.28918, 17, 0, 0, 50f, 3.17f
47.59005, -122.28858, 9, 0, 0, 50f, 3.17f
47.59005, -122.28826, 18, 0, 0, 50f, 3.17f
47.59003, -122.28811, 29, 0, 0, 50f, 3.17f
47.59003, -122.28798, 5, 0, 0, 50f, 3.17f
47.59, -122.2877, 19, 0, 0, 50f, 3.17f
47.58998, -122.28734, 24, 0, 0, 50f, 3.17f
47.58994, -122.28646, 10, 0, 0, 50f, 3.17f
47.58992, -122.28607, 11, 0, 0, 50f, 3.17f
47.58992, -122.28584, 10, 0, 0, 50f, 3.17f
47.58992, -122.2856, 17, 0, 0, 50f, 3.17f
47.5899, -122.2847, 19, 0, 0, 50f, 3.17f
47.58988, -122.28365, 12, 0, 0, 50f, 3.17f
47.58981, -122.28169, 27, 0, 0, 50f, 3.17f
47.58975, -122.27833, 16, 0, 0, 50f, 3.17f
47.58975, -122.27779, 8, 0, 0, 50f, 3.17f
47.58956, -122.27, 18, 0, 0, 50f, 3.17f
47.58951, -122.26796, 24, 0, 0, 50f, 3.17f
47.58949, -122.26646, 10, 0, 0, 50f, 3.17f
47.58947, -122.2661, 9, 0, 0, 50f, 3.17f
47.58938, -122.26219, 21, 0, 0, 50f, 3.17f
47.58923, -122.2556, 28, 0, 0, 50f, 3.17f
47.58923, -122.25459, 6, 0, 0, 50f, 3.17f
47.58921, -122.25436, 25, 0, 0, 50f, 3.17f
47.58921, -122.25431, 24, 0, 0, 50f, 3.17f
47.58923, -122.25397, 7, 0, 0, 50f, 3.17f
47.58923, -122.25374, 16, 0, 0, 50f, 3.17f
47.58928, -122.25326, 11, 0, 0, 50f, 3.17f
47.58928, -122.25309, 27, 0, 0, 50f, 3.17f
47.5893, -122.25298, 12, 0, 0, 50f, 3.17f
47.5893, -122.25286, 4, 0, 0, 50f, 3.17f
47.58932, -122.25266, 19, 0, 0, 50f, 3.17f
47.58936, -122.25243, 12, 0, 0, 50f, 3.17f
47.58938, -122.25228, 12, 0, 0, 50f, 3.17f
47.58945, -122.25202, 20, 0, 0, 50f, 3.17f
47.58949, -122.2518, 25, 0, 0, 50f, 3.17f
47.58956, -122.25155, 4, 0, 0, 50f, 3.17f
47.5896, -122.25135, 19, 0, 0, 50f, 3.17f
47.58966, -122.25114, 12, 0, 0, 50f, 3.17f
47.58973, -122.2509, 25, 0, 0, 50f, 3.17f
47.58979, -122.25073, 6, 0, 0, 50f, 3.17f
47.58986, -122.25056, 16, 0, 0, 50f, 3.17f
47.58992, -122.25039, 13, 0, 0, 50f, 3.17f
47.59003, -122.25013, 10, 0, 0, 50f, 3.17f
47.59011, -122.24996, 14, 0, 0, 50f, 3.17f
47.59018, -122.24983, 8, 0, 0, 50f, 3.17f
47.59028, -122.24962, 15, 0, 0, 50f, 3.17f
47.59041, -122.24936, 5, 0, 0, 50f, 3.17f
47.5905, -122.24919, 15, 0, 0, 50f, 3.17f
47.59061, -122.24901, 8, 0, 0, 50f, 3.17f
47.5908, -122.24867, 29, 0, 0, 50f, 3.17f
47.59091, -122.24846, 15, 0, 0, 50f, 3.17f
47.59099, -122.24831, 23, 0, 0, 50f, 3.17f
47.59106, -122.24814, 23, 0, 0, 50f, 3.17f
47.59114, -122.24798, 9, 0, 0, 50f, 3.17f
47.59129, -122.24762, 8, 0, 0, 50f, 3.17f
47.59134, -122.24749, 29, 0, 0, 50f, 3.17f
47.59144, -122.24726, 4, 0, 0, 50f, 3.17f
47.59151, -122.24702, 28, 0, 0, 50f, 3.17f
47.59157, -122.24683, 29, 0, 0, 50f, 3.17f
47.59162, -122.24665, 26, 0, 0, 50f, 3.17f
47.59166, -122.2465, 12, 0, 0, 50f, 3.17f
47.5917, -122.24631, 28, 0, 0, 50f, 3.17f
47.59172, -122.24616, 29, 0, 0, 50f, 3.17f
47.59176, -122.24597, 10, 0, 0, 50f, 3.17f
47.59179, -122.24577, 10, 0, 0, 50f, 3.17f
47.59183, -122.24543, 12, 0, 0, 50f, 3.17f
47.59185, -122.24513, 27, 0, 0, 50f, 3.17f
47.59189, -122.24432, 20, 0, 0, 50f, 3.17f
47.59192, -122.24384, 26, 0, 0, 50f, 3.17f
47.59189, -122.24346, 15, 0, 0, 50f, 3.17f
47.59187, -122.24314, 16, 0, 0, 50f, 3.17f
47.59181, -122.24262, 23, 0, 0, 50f, 3.17f
47.59176, -122.2424, 23, 0, 0, 50f, 3.17f
47.5917, -122.24215, 10, 0, 0, 50f, 3.17f
47.59166, -122.24193, 6, 0, 0, 50f, 3.17f
47.59159, -122.24174, 27, 0, 0, 50f, 3.17f
47.59155, -122.24155, 20, 0, 0, 50f, 3.17f
47.59131, -122.24099, 28, 0, 0, 50f, 3.17f
47.59099, -122.24034, 26, 0, 0, 50f, 3.17f
47.59091, -122.24015, 21, 0, 0, 50f, 3.17f
47.59074, -122.23981, 6, 0, 0, 50f, 3.17f
47.59058, -122.23957, 12, 0, 0, 50f, 3.17f
47.59022, -122.23891, 25, 0, 0, 50f, 3.17f
47.58975, -122.23809, 29, 0, 0, 50f, 3.17f
47.58956, -122.23773, 15, 0, 0, 50f, 3.17f
47.58934, -122.23728, 12, 0, 0, 50f, 3.17f
47.58921, -122.23702, 18, 0, 0, 50f, 3.17f
47.58913, -122.23683, 10, 0, 0, 50f, 3.17f
47.58895, -122.23644, 12, 0, 0, 50f, 3.17f
47.5888, -122.23601, 19, 0, 0, 50f, 3.17f
47.58863, -122.23554, 18, 0, 0, 50f, 3.17f
47.5884, -122.23487, 28, 0, 0, 50f, 3.17f
47.58827, -122.23447, 13, 0, 0, 50f, 3.17f
47.58816, -122.23414, 26, 0, 0, 50f, 3.17f
47.5881, -122.23397, 20, 0, 0, 50f, 3.17f
47.5878, -122.23309, 14, 0, 0, 50f, 3.17f
47.58754, -122.23236, 12, 0, 0, 50f, 3.17f
47.58737, -122.23187, 22, 0, 0, 50f, 3.17f
47.58732, -122.23172, 4, 0, 0, 50f, 3.17f
47.58719, -122.23133, 17, 0, 0, 50f, 3.17f
47.58713, -122.23118, 14, 0, 0, 50f, 3.17f
47.58694, -122.23069, 18, 0, 0, 50f, 3.17f
47.58676, -122.23032, 26, 0, 0, 50f, 3.17f
47.58666, -122.23009, 7, 0, 0, 50f, 3.17f
47.58659, -122.22992, 25, 0, 0, 50f, 3.17f
47.58655, -122.22981, 12, 0, 0, 50f, 3.17f
47.58597, -122.22856, 6, 0, 0, 50f, 3.17f
47.58453, -122.22532, 19, 0, 0, 50f, 3.17f
47.58449, -122.22522, 16, 0, 0, 50f, 3.17f
47.5844, -122.225, 23, 0, 0, 50f, 3.17f
47.58376, -122.22354, 19, 0, 0, 50f, 3.17f
47.58295, -122.22166, 22, 0, 0, 50f, 3.17f
47.5822, -122.21992, 27, 0, 0, 50f, 3.17f
47.58215, -122.21983, 22, 0, 0, 50f, 3.17f
47.582, -122.21949, 17, 0, 0, 50f, 3.17f
47.58194, -122.21936, 17, 0, 0, 50f, 3.17f
47.58183, -122.21917, 16, 0, 0, 50f, 3.17f
47.58166, -122.21887, 28, 0, 0, 50f, 3.17f
47.58146, -122.21857, 28, 0, 0, 50f, 3.17f
47.58119, -122.21816, 18, 0, 0, 50f, 3.17f
47.58063, -122.21734, 28, 0, 0, 50f, 3.17f
47.58009, -122.21657, 7, 0, 0, 50f, 3.17f
47.57983, -122.21618, 25, 0, 0, 50f, 3.17f
47.57966, -122.2159, 15, 0, 0, 50f, 3.17f
47.57951, -122.2156, 9, 0, 0, 50f, 3.17f
47.57936, -122.21528, 6, 0, 0, 50f, 3.17f
47.57921, -122.21496, 5, 0, 0, 50f, 3.17f
47.57908, -122.21464, 4, 0, 0, 50f, 3.17f
47.57898, -122.2143, 28, 0, 0, 50f, 3.17f
47.57893, -122.21421, 10, 0, 0, 50f, 3.17f
47.57889, -122.21402, 11, 0, 0, 50f, 3.17f
47.57883, -122.2138, 19, 0, 0, 50f, 3.17f
47.57872, -122.21342, 15, 0, 0, 50f, 3.17f
47.57863, -122.21301, 16, 0, 0, 50f, 3.17f
47.57859, -122.21273, 5, 0, 0, 50f, 3.17f
47.57857, -122.21262, 27, 0, 0, 50f, 3.17f
47.57853, -122.21232, 9, 0, 0, 50f, 3.17f
47.5785, -122.21219, 26, 0, 0, 50f, 3.17f
47.57848, -122.21206, 26, 0, 0, 50f, 3.17f
47.57846, -122.21196, 23, 0, 0, 50f, 3.17f
47.57825, -122.21037, 5, 0, 0, 50f, 3.17f
47.5781, -122.20934, 7, 0, 0, 50f, 3.17f
47.57797, -122.2084, 20, 0, 0, 50f, 3.17f
47.57792, -122.20799, 23, 0, 0, 50f, 3.17f
47.57788, -122.20771, 18, 0, 0, 50f, 3.17f
47.57784, -122.20736, 25, 0, 0, 50f, 3.17f
47.57778, -122.20683, 16, 0, 0, 50f, 3.17f
47.57773, -122.20644, 19, 0, 0, 50f, 3.17f
47.57769, -122.20606, 22, 0, 0, 50f, 3.17f
47.57769, -122.20567, 9, 0, 0, 50f, 3.17f
47.57769, -122.20537, 14, 0, 0, 50f, 3.17f
47.57769, -122.2053, 10, 0, 0, 50f, 3.17f
47.57769, -122.20505, 25, 0, 0, 50f, 3.17f
47.57771, -122.20477, 10, 0, 0, 50f, 3.17f
47.57771, -122.20468, 27, 0, 0, 50f, 3.17f
47.57773, -122.20442, 12, 0, 0, 50f, 3.17f
47.57773, -122.20432, 23, 0, 0, 50f, 3.17f
47.57778, -122.20395, 22, 0, 0, 50f, 3.17f
47.57784, -122.20359, 5, 0, 0, 50f, 3.17f
47.57788, -122.20329, 11, 0, 0, 50f, 3.17f
47.5779, -122.20322, 26, 0, 0, 50f, 3.17f
47.57797, -122.20294, 17, 0, 0, 50f, 3.17f
47.57814, -122.20226, 6, 0, 0, 50f, 3.17f
47.57816, -122.20219, 29, 0, 0, 50f, 3.17f
47.5782, -122.20202, 23, 0, 0, 50f, 3.17f
47.57844, -122.20112, 18, 0, 0, 50f, 3.17f
47.57857, -122.20067, 5, 0, 0, 50f, 3.17f
47.5787, -122.20018, 11, 0, 0, 50f, 3.17f
47.57904, -122.1988, 14, 0, 0, 50f, 3.17f
47.57926, -122.19799, 18, 0, 0, 50f, 3.17f
47.57932, -122.19775, 16, 0, 0, 50f, 3.17f
47.5794, -122.19741, 13, 0, 0, 50f, 3.17f
47.57951, -122.197, 15, 0, 0, 50f, 3.17f
47.57958, -122.19681, 7, 0, 0, 50f, 3.17f
47.57958, -122.1967, 27, 0, 0, 50f, 3.17f
47.57962, -122.19653, 18, 0, 0, 50f, 3.17f
47.57966, -122.19631, 22, 0, 0, 50f, 3.17f
47.57968, -122.19608, 28, 0, 0, 50f, 3.17f
47.57973, -122.19578, 20, 0, 0, 50f, 3.17f
47.57975, -122.19548, 14, 0, 0, 50f, 3.17f
47.57975, -122.19544, 11, 0, 0, 50f, 3.17f
47.57975, -122.19516, 5, 0, 0, 50f, 3.17f
47.57975, -122.19483, 13, 0, 0, 50f, 3.17f
47.57973, -122.19449, 11, 0, 0, 50f, 3.17f
47.57971, -122.19415, 6, 0, 0, 50f, 3.17f
47.57966, -122.1938, 28, 0, 0, 50f, 3.17f
47.5796, -122.19344, 22, 0, 0, 50f, 3.17f
47.57953, -122.1931, 17, 0, 0, 50f, 3.17f
47.57943, -122.19258, 21, 0, 0, 50f, 3.17f
47.5793, -122.19187, 13, 0, 0, 50f, 3.17f
47.57928, -122.19174, 21, 0, 0, 50f, 3.17f
47.57917, -122.19127, 16, 0, 0, 50f, 3.17f
47.57915, -122.19104, 27, 0, 0, 50f, 3.17f
47.57913, -122.19089, 5, 0, 0, 50f, 3.17f
47.57908, -122.19058, 9, 0, 0, 50f, 3.17f
47.57906, -122.19026, 11, 0, 0, 50f, 3.17f
47.57904, -122.18994, 10, 0, 0, 50f, 3.17f
47.57904, -122.18981, 22, 0, 0, 50f, 3.17f
47.57906, -122.1896, 10, 0, 0, 50f, 3.17f
47.57906, -122.18928, 14, 0, 0, 50f, 3.17f
47.57908, -122.1891, 7, 0, 0, 50f, 3.17f
47.57908, -122.18898, 9, 0, 0, 50f, 3.17f
