47.602709,-122.334405,20, 20, 120, 3.0f, 3.12f
47.571285,-122.322378,20, 20, 120, 40f, 3.7f
47.570533,-122.320662,20, 20, 120, 40f, 3.7f
47.569345,-122.320147,20, 20, 120, 40f, 3.7f
47.567695,-122.320361,20, 20, 120, 40f, 3.12f
47.566218,-122.320747,20, 20, 120, 40f, 3.12f
47.564539,-122.320962,20, 20, 120, 40f, 3.12f
47.56257,-122.321305,20, 20, 120, 40f, 3.12f
47.559789,-122.321305,20, 20, 120, 50f, 3.12f
47.557444,-122.320189,20, 20, 120, 50f, 3.12f
47.555416,-122.319288,20, 20, 120, 50f, 3.12f
47.553707,-122.318215,20, 20, 120, 50f, 3.12f
47.553563,-122.31607,20, 20, 120, 50f, 3.12f
47.553505,-122.313623,20, 20, 120, 50f, 3.12f
47.555967,-122.313237,20, 20, 120, 50f, 3.12f
47.558168,-122.313495,20, 20, 120, 50f, 3.12f
47.560137,-122.313538,20, 20, 120, 50f, 3.12f
47.561701,-122.310791,20, 20, 120, 50f, 3.12f
47.5606,-122.308002,20, 20, 120, 50f, 3.12f
47.559963,-122.30607,20, 20, 120, 50f, 3.17f
47.559616,-122.304096,20, 20, 120, 50f, 3.17f
47.56034,-122.300878,20, 20, 120, 50f, 3.17f
47.56144,-122.298045,20, 20, 120, 50f, 3.17f
47.562309,-122.295856,20, 20, 120, 50f, 3.17f
47.563004,-122.293882,20, 20, 120, 50f, 3.17f
47.562772,-122.29178,20, 20, 120, 50f, 3.7f
47.56283,-122.289634,20, 20, 120, 50f, 3.7f
47.562888,-122.28766,20, 20, 120, 180f, 3.7f
47.56144,-122.287445,20, 20, 120, 180f, 3.0f
47.560311,-122.286544,20, 20, 120, 180f, 3.0f
47.558776,-122.285514,20, 20, 120, 180f, 3.0f
47.557849,-122.284956,20, 20, 120, 180f, 3.0f
47.557791,-122.287316,20, 20, 120, 180f, 3.0f
47.557849,-122.289891,20, 20, 120, 180f, 3.0f
47.558921,-122.292037,20, 20, 120, 180f, 3.0f
47.561469,-122.293797,20, 20, 120, 180f, 3.0f
47.564017,-122.295341,20, 20, 120, 180f, 3.0f
47.565871,-122.296543,20, 20, 120, 180f, 3.0f
47.567579,-122.297144,20, 20, 120, 180f, 3.0f
47.569259,-122.296801,20, 20, 120, 180f, 3.0f
47.570938,-122.296844,20, 20, 120, 180f, 3.0f
47.572646,-122.296801,20, 20, 120, 180f, 3.0f
47.574789,-122.296844,20, 20, 120, 180f, 3.0f
47.576439,-122.2965,20, 20, 120, 280f, 3.0f
47.578234,-122.296286,20, 20, 120, 280f, 3.0f
47.58026,-122.296371,20, 20, 120, 280f, 3.0f
47.581592,-122.297251,20, 20, 120, 280f, 3.0f
47.582236,-122.297691,20, 20, 120, 280f, 3.0f
47.582902,-122.298056,20, 20, 120, 280f, 3.0f
47.583553,-122.29811,20, 20, 120, 280f, 3.0f
47.584979,-122.298174,20, 20, 120, 280f, 3.0f
47.586368,-122.298174,20, 20, 120, 280f, 3.0f
47.588105,-122.298002,20, 20, 120, 280f, 3.0f
47.589841,-122.297659,20, 20, 120, 280f, 3.0f
47.591781,-122.297616,20, 20, 120, 280f, 3.0f
